volume,volume_weighted_average_price,open,close,high,low,time,number_transactions
1310.9526135499987,2532.6458,2541.19,2528.44,2543.1,2527.38,1642982400000,3068
1629.80365186,2522.3134,2528.42,2519.09,2532.3,2511.45,1642982700000,3056
849.4473108700008,2518.6287,2519.34,2517.26,2523.3,2513.86,1642983000000,2260
859.4307605200003,2519.7618,2517.81,2516.79,2526.4,2515.5,1642983300000,2182
3034.1698578299965,2507.5048,2516.64,2503.09,2520.3,2498.98,1642983600000,3477
3316.1123966999953,2498.5175,2502.48,2495.75,2503.6,2492.83,1642983900000,3844
3345.796269449995,2490.1121,2495.24,2489.9,2495.88,2484.41,1642984200000,3958
1462.1584930699987,2490.5317,2487.81,2492.6,2497.5,2485.21,1642984500000,2514
1518.8394703500003,2490.4667,2491.91,2484.96,2494.84,2484.64,1642984800000,2533
927.2269053699999,2491.2769,2484.88,2491.8,2495.7,2484.52,1642985100000,2251
673.9566850800009,2494.0655,2491.72,2492.66,2497.6,2490.71,1642985400000,2036
816.3761490000003,2491.9438,2493.14,2492.39,2495.41,2488.91,1642985700000,2151
2131.708560530001,2496.712,2492.44,2498.0,2499.6,2489.37,1642986000000,2683
3698.8926511899954,2495.2711,2498.51,2492.84,2503.0,2491.47,1642986300000,3877
2335.309606549998,2490.9844,2494.28,2493.2,2497.1,2485.42,1642986600000,3477
1296.5043076699997,2494.811,2493.45,2498.99,2502.94,2489.07,1642986900000,2509
2315.955155260001,2490.8476,2498.98,2486.47,2499.4,2483.72,1642987200000,3295
1659.3098358799994,2481.0341,2486.56,2478.5,2488.8,2474.27,1642987500000,2998
1511.5097382400002,2471.5059,2478.38,2476.3,2478.9,2465.1,1642987800000,3146
798.7375882200005,2474.6609,2476.04,2473.69,2479.07,2469.19,1642988100000,2222
1111.7887514700008,2467.7068,2473.75,2466.03,2476.0,2461.53,1642988400000,2645
1443.7611219399992,2468.8704,2465.63,2468.91,2473.25,2464.07,1642988700000,2205
1315.5790687100007,2464.1043,2469.16,2457.99,2472.57,2455.0,1642989000000,2965
1504.041378079998,2456.9226,2457.99,2458.97,2461.9,2453.41,1642989300000,2459
1340.8150253599988,2458.9622,2458.97,2454.38,2462.86,2454.09,1642989600000,2470
1663.2734189599998,2452.2036,2454.53,2453.79,2457.4,2448.77,1642989900000,2415
1326.1286245499998,2454.5213,2453.72,2455.27,2457.1,2450.59,1642990200000,1710
706.6558060100004,2454.7922,2455.34,2452.67,2460.3,2449.59,1642990500000,1916
896.8576098900002,2452.0264,2452.25,2452.61,2456.3,2448.25,1642990800000,1960
1044.1723765600009,2454.9276,2452.85,2455.7,2459.0,2451.11,1642991100000,1593
1679.8321745799994,2462.1843,2456.38,2464.53,2466.12,2455.73,1642991400000,2082
976.6628561799997,2459.7575,2464.34,2459.29,2465.5,2454.51,1642991700000,1774
799.5074337200001,2455.1775,2459.26,2452.75,2461.9,2449.22,1642992000000,2038
924.6017283900004,2457.7508,2453.38,2456.25,2462.87,2451.66,1642992300000,1998
783.1759749600001,2454.478,2455.96,2452.82,2457.19,2451.23,1642992600000,2031
2091.62955734,2443.4401,2452.83,2437.86,2456.0,2433.34,1642992900000,3380
1381.8957974700004,2438.4401,2437.87,2443.19,2443.28,2434.6,1642993200000,2417
1152.3869867599994,2441.4454,2440.83,2437.2,2445.41,2436.25,1642993500000,2167
744.7488280300004,2440.0347,2436.4,2444.06,2444.44,2435.16,1642993800000,2085
831.1805465100007,2446.7351,2444.41,2448.63,2451.7,2440.84,1642994100000,2054
1873.1351274999988,2448.5228,2448.63,2449.67,2452.59,2445.26,1642994400000,2200
1786.749608519999,2446.893,2449.44,2451.48,2453.6,2438.63,1642994700000,2315
1180.8553838200003,2454.3689,2452.95,2456.7,2458.37,2451.58,1642995000000,1848
1493.74590995,2458.6688,2456.55,2459.79,2461.02,2455.41,1642995300000,1859
743.0053466700003,2456.77,2459.86,2453.83,2461.21,2451.26,1642995600000,1688
808.0974001400004,2455.4822,2454.31,2459.28,2459.6,2452.02,1642995900000,1611
925.5723592800008,2461.8349,2459.47,2464.9,2465.2,2457.74,1642996200000,1929
1356.4674056799988,2464.1139,2464.85,2461.5,2467.2,2460.68,1642996500000,1862
1235.0603543199989,2466.6353,2461.5,2469.11,2472.19,2460.51,1642996800000,2285
998.5247935999996,2465.5232,2469.25,2460.61,2471.25,2459.2,1642997100000,1810
922.73403805,2461.4609,2460.6,2461.63,2463.97,2457.6,1642997400000,1610
609.2497929000004,2460.6443,2461.62,2463.84,2464.02,2457.81,1642997700000,1534
393.9672378500001,2461.9692,2463.74,2459.34,2464.11,2458.96,1642998000000,1430
563.9277240600002,2459.2268,2459.22,2458.13,2462.66,2456.29,1642998300000,1485
486.4515898700006,2459.1907,2458.12,2460.45,2461.4,2456.16,1642998600000,1529
690.1946516100006,2456.2728,2460.66,2449.89,2463.4,2448.88,1642998900000,1734
1203.0674503500004,2444.828,2450.23,2443.01,2450.57,2439.25,1642999200000,1998
1207.8225721699998,2437.932,2442.93,2434.84,2446.3,2426.35,1642999500000,2168
1400.9278022299982,2434.0556,2434.69,2436.9,2437.5,2430.21,1642999800000,2320
579.9215117200006,2436.8206,2437.25,2440.33,2440.36,2433.38,1643000100000,1597
1724.6621193299982,2428.6897,2440.4,2426.2,2440.79,2420.61,1643000400000,2686
1655.009541959998,2426.5529,2425.62,2429.68,2431.0,2422.55,1643000700000,2407
1211.6291853899982,2429.3988,2430.76,2429.63,2431.56,2426.37,1643001000000,1901
818.5412008900007,2433.8654,2429.72,2435.62,2437.13,2428.05,1643001300000,1680
634.5006022700004,2433.4986,2435.53,2434.59,2436.6,2429.02,1643001600000,1350
626.5882766000002,2431.2982,2434.58,2427.69,2435.17,2425.13,1643001900000,1393
809.0000414800004,2427.1739,2427.69,2425.0,2432.86,2421.49,1643002200000,1909
973.7774658300009,2425.8697,2424.99,2432.92,2433.4,2420.78,1643002500000,1565
554.8902048000001,2433.2876,2432.74,2431.98,2436.3,2429.23,1643002800000,1791
627.6983964900002,2437.5708,2431.88,2437.33,2443.13,2431.44,1643003100000,1760
696.4361794099999,2441.844,2437.4,2439.37,2447.8,2436.88,1643003400000,1626
